scenario,selector,gap_mean,gap_ci95,attain_mean,exf_mean,heavy_mean,ene_mean,picked
L120_uniform,det_holistic,6.808,0.496,93.64,0,0.767,15661.5,awra
L120_uniform,det_lexicographic,0.0,0.0,100.0,0,3.989,20715.6,tob
L120_uniform,det_speed,0.0,0.0,100.0,0,3.989,20715.6,tob
L120_uniform,random,176.756,4.733,36.21,0,6.965,44562.1,random
L120_uniform,seq,176.725,3.449,36.18,0,5.335,43920.6,seq
L120_uniform,near,33.047,1.51,75.23,0,4.1,20600.6,near
L120_uniform,score,28.814,1.341,77.69,0,3.96,20355.9,score
L120_uniform,awra,6.808,0.496,93.64,0,0.767,15661.5,awra
L120_uniform,cb,39.113,0.473,71.89,0,5.45,33738.0,cb
L120_uniform,tob,0.0,0.0,100.0,0,3.989,20715.6,tob
L120_skew,det_holistic,39.534,4.619,72.21,0,0.524,14698.0,awra
L120_skew,det_lexicographic,0.0,0.0,100.0,0,3.992,20715.4,tob
L120_skew,det_speed,0.0,0.0,100.0,0,3.992,20715.4,tob
L120_skew,random,334.731,34.146,23.93,0,6.965,44562.1,random
L120_skew,seq,307.133,24.558,25.15,0,5.335,43920.6,seq
L120_skew,near,95.574,13.401,52.55,0,4.1,20600.6,near
L120_skew,score,85.957,13.728,55.47,0,3.881,20189.9,score
L120_skew,awra,39.534,4.619,72.21,0,0.524,14698.0,awra
L120_skew,cb,35.63,1.26,73.77,0,5.606,33520.6,cb
L120_skew,tob,0.0,0.0,100.0,0,3.992,20715.4,tob
L120_heavy,det_holistic,27.566,3.362,78.76,0,0.562,20629.7,awra
L120_heavy,det_lexicographic,0.0,0.0,100.0,0,3.982,25411.8,tob
L120_heavy,det_speed,0.0,0.0,100.0,0,3.982,25411.8,tob
L120_heavy,random,311.947,24.014,24.87,0,6.722,54766.6,random
L120_heavy,seq,321.195,26.786,24.4,0,5.276,55823.5,seq
L120_heavy,near,95.574,13.401,52.55,0,4.097,25270.2,near
L120_heavy,score,82.764,13.798,56.54,0,4.018,25152.1,score
L120_heavy,awra,27.566,3.362,78.76,0,0.562,20629.7,awra
L120_heavy,cb,36.055,1.155,73.54,0,5.786,42093.6,cb
L120_heavy,tob,0.0,0.0,100.0,0,3.982,25411.8,tob
tiny_light,det_holistic,46.972,4.526,68.5,0,0.0,66.2,awra
tiny_light,det_lexicographic,0.0,0.0,100.0,0,0.925,304.5,tob
tiny_light,det_speed,0.0,0.0,100.0,0,0.925,304.5,tob
tiny_light,random,1231.313,221.934,8.97,0,9.575,2838.5,random
tiny_light,seq,857.558,121.009,11.48,0,8.492,2354.5,seq
tiny_light,near,90.529,24.532,58.11,0,1.125,312.1,near
tiny_light,score,76.846,12.777,58.29,0,0.317,97.9,score
tiny_light,awra,46.972,4.526,68.5,0,0.0,66.2,awra
tiny_light,cb,20.014,2.06,83.49,0,1.317,389.8,cb
tiny_light,tob,0.0,0.0,100.0,0,0.925,304.5,tob
light_sparse,det_holistic,11.757,2.281,89.73,0,0.075,1209.4,awra
light_sparse,det_lexicographic,11.757,2.281,89.73,0,0.075,1209.4,awra
light_sparse,det_speed,0.0,0.0,100.0,0,2.014,1803.0,tob
light_sparse,random,616.159,77.989,15.16,0,9.694,8709.4,random
light_sparse,seq,540.257,60.607,16.66,0,9.053,8186.3,seq
light_sparse,near,92.625,14.589,54.07,0,2.156,1844.2,near
light_sparse,score,56.028,11.724,66.35,0,1.819,1607.9,score
light_sparse,awra,11.757,2.281,89.73,0,0.075,1209.4,awra
light_sparse,cb,23.226,0.897,81.18,0,3.278,2955.8,cb
light_sparse,tob,0.0,0.0,100.0,0,2.014,1803.0,tob
light_full,det_holistic,28.167,3.329,78.38,0,0.529,5581.0,awra
light_full,det_lexicographic,0.0,0.0,100.0,0,3.978,7283.6,tob
light_full,det_speed,0.0,0.0,100.0,0,3.978,7283.6,tob
light_full,random,356.737,35.037,22.74,0,9.694,17276.1,random
light_full,seq,323.462,27.408,24.28,0,9.456,17165.6,seq
light_full,near,95.574,13.401,52.55,0,4.083,7253.1,near
light_full,score,81.863,13.76,56.84,0,3.989,7202.9,score
light_full,awra,28.167,3.329,78.38,0,0.529,5581.0,awra
light_full,cb,38.222,1.441,72.4,0,6.867,12622.2,cb
light_full,tob,0.0,0.0,100.0,0,3.978,7283.6,tob
flat_info,det_holistic,2.838,0.154,97.24,0,0.49,14279.5,awra
flat_info,det_lexicographic,0.0,0.0,100.0,0,3.994,20718.7,tob
flat_info,det_speed,0.0,0.0,100.0,0,3.994,20718.7,tob
flat_info,random,116.442,3.211,46.27,0,6.965,44562.1,random
flat_info,seq,117.871,0.824,45.9,0,5.335,43920.6,seq
flat_info,near,5.318,0.216,94.95,0,4.1,20600.6,near
flat_info,score,5.196,0.22,95.06,0,3.726,19976.3,score
flat_info,awra,2.838,0.154,97.24,0,0.49,14279.5,awra
flat_info,cb,39.872,0.97,71.52,0,4.778,29884.3,cb
flat_info,tob,0.0,0.0,100.0,0,3.994,20718.7,tob
dense_200,det_holistic,18.77,4.138,84.87,0,1.205,42466.5,awra
dense_200,det_lexicographic,1.969,2.798,98.48,0,5.402,74516.1,cb
dense_200,det_speed,1.969,2.798,98.48,0,5.402,74516.1,cb
dense_200,random,129.106,14.969,44.83,0,6.88,75317.1,random
dense_200,seq,119.644,12.613,46.59,0,5.438,74041.0,seq
