scenario,seed,n,density,skew,w_mean,w_heavy
L120_uniform,2026,120,0.449,0.34,45.3,0.267
L120_uniform,2027,120,0.449,0.352,43.7,0.283
L120_uniform,2028,120,0.449,0.355,40.8,0.25
L120_uniform,2029,120,0.449,0.36,40.3,0.267
L120_uniform,2030,120,0.449,0.357,43.2,0.242
L120_uniform,2031,120,0.449,0.354,45.3,0.342
L120_uniform,2032,120,0.449,0.363,47.2,0.333
L120_uniform,2033,120,0.449,0.374,45.4,0.342
L120_uniform,2034,120,0.449,0.367,42.7,0.3
L120_uniform,2035,120,0.449,0.358,43.7,0.242
L120_uniform,2036,120,0.449,0.362,43.4,0.25
L120_uniform,2037,120,0.449,0.339,42.0,0.283
L120_uniform,2038,120,0.449,0.374,42.0,0.3
L120_uniform,2039,120,0.449,0.355,47.5,0.367
L120_uniform,2040,120,0.449,0.346,40.9,0.242
L120_uniform,2041,120,0.449,0.359,43.6,0.292
L120_uniform,2042,120,0.449,0.343,43.3,0.283
L120_uniform,2043,120,0.449,0.352,41.0,0.242
L120_uniform,2044,120,0.449,0.36,40.3,0.25
L120_uniform,2045,120,0.449,0.361,41.5,0.25
L120_uniform,2046,120,0.449,0.363,42.1,0.192
L120_uniform,2047,120,0.449,0.36,42.2,0.25
L120_uniform,2048,120,0.449,0.345,40.0,0.258
L120_uniform,2049,120,0.449,0.337,43.1,0.267
L120_uniform,2050,120,0.449,0.342,43.1,0.25
L120_uniform,2051,120,0.449,0.351,43.1,0.258
L120_uniform,2052,120,0.449,0.38,41.9,0.2
L120_uniform,2053,120,0.449,0.347,42.7,0.3
L120_uniform,2054,120,0.449,0.367,43.7,0.25
L120_uniform,2055,120,0.449,0.35,38.7,0.167
L120_skew,2026,120,0.449,0.562,45.3,0.267
L120_skew,2027,120,0.449,0.609,43.7,0.283
L120_skew,2028,120,0.449,0.725,40.8,0.25
L120_skew,2029,120,0.449,0.663,40.3,0.267
L120_skew,2030,120,0.449,0.694,43.2,0.242
L120_skew,2031,120,0.449,0.789,45.3,0.342
L120_skew,2032,120,0.449,0.815,47.2,0.333
L120_skew,2033,120,0.449,0.698,45.4,0.342
L120_skew,2034,120,0.449,0.721,42.7,0.3
L120_skew,2035,120,0.449,0.686,43.7,0.242
L120_skew,2036,120,0.449,0.68,43.4,0.25
L120_skew,2037,120,0.449,0.583,42.0,0.283
L120_skew,2038,120,0.449,0.636,42.0,0.3
L120_skew,2039,120,0.449,0.642,47.5,0.367
L120_skew,2040,120,0.449,0.721,40.9,0.242
L120_skew,2041,120,0.449,0.603,43.6,0.292
L120_skew,2042,120,0.449,0.657,43.3,0.283
L120_skew,2043,120,0.449,0.684,41.0,0.242
L120_skew,2044,120,0.449,0.737,40.3,0.25
L120_skew,2045,120,0.449,0.708,41.5,0.25
L120_skew,2046,120,0.449,0.564,42.1,0.192
L120_skew,2047,120,0.449,0.688,42.2,0.25
L120_skew,2048,120,0.449,0.581,40.0,0.258
L120_skew,2049,120,0.449,0.753,43.1,0.267
L120_skew,2050,120,0.449,0.566,43.1,0.25
L120_skew,2051,120,0.449,0.606,43.1,0.258
