density,case,mode,delta,bg,exp_mean,ene_mean,fail_sum,viol_sum
120,uniform,online,0.0,0.6,9.188,21049.9,0,0
120,uniform,online,0.0,1.0,9.201,21022.5,0,0
120,uniform,online,0.0,1.4,9.216,21001.3,0,0
120,uniform,online,0.05,0.6,9.153,21133.1,0,0
120,uniform,online,0.05,1.0,9.157,21066.3,0,0
120,uniform,online,0.05,1.4,9.179,21056.0,0,0
120,uniform,online,0.1,0.6,9.099,21044.5,0,0
120,uniform,online,0.1,1.0,9.121,21072.4,0,0
120,uniform,online,0.1,1.4,9.119,21055.6,0,0
120,uniform,online,0.15,0.6,9.043,21003.5,0,0
120,uniform,online,0.15,1.0,9.037,21025.5,0,0
120,uniform,online,0.15,1.4,9.072,21118.2,0,0
120,uniform,online,0.2,0.6,8.926,20997.1,0,0
120,uniform,online,0.2,1.0,9.015,21012.8,0,0
120,uniform,online,0.2,1.4,9.032,21082.2,0,0
120,uniform,batch,0.0,0.6,7.053,16385.8,0,0
120,uniform,batch,0.0,1.0,7.247,15715.1,0,0
120,uniform,batch,0.0,1.4,7.446,15272.2,0,0
120,uniform,batch,0.05,0.6,7.024,16519.8,0,0
120,uniform,batch,0.05,1.0,7.232,15744.8,0,0
120,uniform,batch,0.05,1.4,7.427,15307.0,0,0
120,uniform,batch,0.1,0.6,7.004,16675.0,0,0
120,uniform,batch,0.1,1.0,7.205,15836.2,0,0
120,uniform,batch,0.1,1.4,7.396,15371.4,0,0
120,uniform,batch,0.15,0.6,6.991,16736.0,0,0
120,uniform,batch,0.15,1.0,7.192,15934.9,0,0
120,uniform,batch,0.15,1.4,7.379,15403.4,0,0
120,uniform,batch,0.2,0.6,7.032,17292.8,0,0
120,uniform,batch,0.2,1.0,7.167,16030.5,0,0
120,uniform,batch,0.2,1.4,7.357,15509.5,0,0
120,skew,online,0.0,0.6,9.46,21181.2,0,0
120,skew,online,0.0,1.0,9.515,21178.5,0,0
120,skew,online,0.0,1.4,9.592,21198.8,0,0
120,skew,online,0.05,0.6,9.208,21185.6,0,0
120,skew,online,0.05,1.0,9.236,21195.2,0,0
120,skew,online,0.05,1.4,9.232,21198.8,0,0
120,skew,online,0.1,0.6,9.205,20906.2,0,0
120,skew,online,0.1,1.0,9.181,21122.9,0,0
120,skew,online,0.1,1.4,9.193,21175.2,0,0
120,skew,online,0.15,0.6,9.349,20587.2,0,0
120,skew,online,0.15,1.0,9.206,20830.5,0,0
120,skew,online,0.15,1.4,9.205,21022.5,0,0
120,skew,online,0.2,0.6,9.773,20928.5,0,0
120,skew,online,0.2,1.0,9.534,20622.3,0,0
120,skew,online,0.2,1.4,9.289,20727.6,0,0
120,skew,batch,0.0,0.6,5.777,15028.5,0,0
120,skew,batch,0.0,1.0,5.975,14892.2,0,0
120,skew,batch,0.0,1.4,6.17,14809.2,0,0
120,skew,batch,0.05,0.6,5.752,15066.7,0,0
120,skew,batch,0.05,1.0,5.965,14900.8,0,0
120,skew,batch,0.05,1.4,6.171,14808.2,0,0
120,skew,batch,0.1,0.6,5.922,15414.2,0,0
120,skew,batch,0.1,1.0,5.99,14885.3,0,0
120,skew,batch,0.1,1.4,6.161,14808.9,0,0
120,skew,batch,0.15,0.6,6.557,16483.6,0,0
120,skew,batch,0.15,1.0,6.19,15191.3,0,0
120,skew,batch,0.15,1.4,6.201,14897.5,0,0
120,skew,batch,0.2,0.6,7.378,17948.7,0,0
120,skew,batch,0.2,1.0,6.587,15827.1,0,0
120,skew,batch,0.2,1.4,6.344,15128.6,0,0
120,heavy,online,0.0,0.6,9.484,25761.9,0,0
120,heavy,online,0.0,1.0,9.594,25770.2,0,0
120,heavy,online,0.0,1.4,9.628,25767.6,0,0
120,heavy,online,0.05,0.6,9.232,25760.9,0,0
120,heavy,online,0.05,1.0,9.232,25760.9,0,0
120,heavy,online,0.05,1.4,9.232,25760.9,0,0
120,heavy,online,0.1,0.6,9.177,25707.4,0,0
120,heavy,online,0.1,1.0,9.194,25735.8,0,0
120,heavy,online,0.1,1.4,9.195,25760.9,0,0
120,heavy,online,0.15,0.6,9.244,25560.3,0,0
120,heavy,online,0.15,1.0,9.199,25725.6,0,0
120,heavy,online,0.15,1.4,9.2,25726.2,0,0
120,heavy,online,0.2,0.6,9.24,25470.5,0,0
120,heavy,online,0.2,1.0,9.266,25573.3,0,0
