good_id,name,weight_kg,freq,volume_m3,col,tier,travel_time_1way_s,path_len_1way_m
1,G001,13.9,1.83,0.51,19,0,9.5,19.0
2,G002,69.5,1.1,0.28,17,0,8.5,17.0
3,G003,50.1,2.02,0.73,16,0,8.0,16.0
4,G004,46.1,3.1,0.71,14,0,7.0,14.0
5,G005,61.3,2.14,0.29,13,0,6.5,13.0
6,G006,51.1,1.11,0.75,11,0,5.5,11.0
7,G007,38.7,4.28,0.65,1,0,0.5,1.0
8,G008,56.0,1.23,0.3,10,0,5.0,10.0
9,G009,78.5,9.82,0.74,2,0,1.0,2.0
10,G010,80.0,1.86,0.16,8,0,4.0,8.0
11,G011,30.5,2.02,0.33,7,0,3.5,7.0
12,G012,39.3,6.07,0.66,4,0,2.0,4.0
13,G013,48.3,1.02,0.67,5,0,2.5,5.0
14,G014,32.3,1.6,0.42,19,1,9.5,20.0
15,G015,48.9,1.81,0.19,18,1,9.0,19.0
16,G016,43.0,3.31,0.58,16,1,8.0,17.0
17,G017,41.8,8.53,0.31,0,1,2.0,1.0
18,G018,36.5,9.46,0.48,1,1,2.0,2.0
19,G019,43.8,1.02,0.28,15,1,7.5,16.0
20,G020,14.7,1.04,0.66,13,1,6.5,14.0
21,G021,71.5,1.1,0.6,12,1,6.0,13.0
22,G022,40.3,1.76,0.28,10,1,5.0,11.0
23,G023,71.4,2.34,0.47,9,1,4.5,10.0
24,G024,40.2,9.83,0.89,3,1,2.0,4.0
25,G025,45.9,2.03,0.64,7,1,3.5,8.0
26,G026,28.1,4.0,0.5,4,1,2.0,5.0
27,G027,40.9,6.43,0.45,6,1,3.0,7.0
28,G028,27.1,1.31,0.13,18,2,9.0,20.0
29,G029,54.2,2.19,0.47,17,2,8.5,19.0
30,G030,44.2,1.79,0.84,15,2,7.5,17.0
31,G031,24.5,1.77,0.51,14,2,7.0,16.0
32,G032,67.0,4.15,0.55,0,2,4.0,2.0
33,G033,73.0,4.64,0.35,2,2,4.0,4.0
34,G034,73.8,1.09,0.65,12,2,6.0,14.0
35,G035,63.9,1.87,0.46,11,2,5.5,13.0
36,G036,77.4,19.06,0.77,3,2,4.0,5.0
37,G037,40.9,1.06,0.31,9,2,4.5,11.0
38,G038,42.4,1.09,0.7,5,2,4.0,7.0
39,G039,35.8,1.67,0.11,6,2,4.0,8.0
40,G040,5.0,2.12,0.85,19,3,9.5,22.0
41,G041,11.2,3.9,0.3,8,2,4.0,10.0
42,G042,51.6,3.33,0.87,17,3,8.5,20.0
43,G043,55.1,2.39,0.22,16,3,8.0,19.0
44,G044,28.5,2.13,0.72,14,3,7.0,17.0
45,G045,76.2,1.79,0.68,13,3,6.5,16.0
46,G046,15.1,1.24,0.57,1,3,6.0,4.0
47,G047,76.9,6.05,0.5,2,3,6.0,5.0
48,G048,11.3,2.59,0.85,4,3,6.0,7.0
49,G049,63.8,8.38,0.34,5,3,6.0,8.0
50,G050,35.9,4.15,0.52,7,3,6.0,10.0
