delta,beta,gamma,score_exp_mean,score_exp_std,score_hot_mean,score_ene_mean,score_cog_mean,awra_exp_mean,awra_hot_mean,awra_ene_mean,viol_sum
0.05,0.4,0.2,8.847,1.145,8.975,20216.2,3.975,5.932,5.037,14494.1,0
0.05,0.4,0.4,8.86,1.163,9.012,20215.7,3.975,6.15,5.454,14289.7,0
0.05,0.4,0.6,8.871,1.17,9.05,20222.1,3.976,6.262,5.713,14210.6,0
0.05,0.6,0.2,8.86,1.163,9.012,20215.7,3.975,6.15,5.454,14289.7,0
0.05,0.6,0.4,8.871,1.17,9.05,20222.1,3.976,6.262,5.713,14210.6,0
0.05,0.6,0.6,8.881,1.172,9.067,20218.9,3.975,6.397,5.95,14137.3,0
0.05,0.8,0.2,8.872,1.17,9.05,20222.1,3.976,6.262,5.713,14210.6,0
0.05,0.8,0.4,8.881,1.172,9.067,20218.9,3.975,6.397,5.95,14137.3,0
0.05,0.8,0.6,8.882,1.172,9.067,20218.9,3.975,6.52,6.158,14073.0,0
0.1,0.4,0.2,8.762,0.992,8.592,20072.5,3.946,6.061,4.946,14741.9,0
0.1,0.4,0.4,8.742,0.981,8.667,20129.0,3.957,6.129,5.358,14443.6,0
0.1,0.4,0.6,8.72,1.052,8.771,20173.8,3.966,6.246,5.696,14224.7,0
0.1,0.6,0.2,8.742,0.981,8.667,20129.0,3.957,6.129,5.358,14443.6,0
0.1,0.6,0.4,8.72,1.052,8.771,20173.8,3.966,6.246,5.696,14224.7,0
0.1,0.6,0.6,8.722,1.046,8.762,20202.2,3.972,6.372,5.925,14150.5,0
0.1,0.8,0.2,8.72,1.052,8.771,20173.8,3.966,6.246,5.696,14224.7,0
0.1,0.8,0.4,8.722,1.046,8.762,20202.2,3.972,6.372,5.925,14150.5,0
0.1,0.8,0.6,8.728,1.048,8.762,20212.0,3.974,6.467,6.067,14096.8,0
0.15,0.4,0.2,9.067,0.801,8.229,19809.6,3.896,6.737,5.092,15767.2,0
0.15,0.4,0.4,8.95,0.895,8.583,19886.3,3.908,6.434,5.304,14850.8,0
0.15,0.4,0.6,8.845,0.894,8.654,19997.1,3.931,6.443,5.608,14492.2,0
0.15,0.6,0.2,8.95,0.895,8.583,19886.3,3.908,6.434,5.304,14850.8,0
0.15,0.6,0.4,8.845,0.894,8.654,19997.1,3.931,6.443,5.608,14492.2,0
0.15,0.6,0.6,8.844,0.916,8.717,20051.2,3.941,6.435,5.838,14307.9,0
0.15,0.8,0.2,8.845,0.894,8.654,19997.1,3.931,6.443,5.608,14492.2,0
0.15,0.8,0.4,8.844,0.916,8.717,20051.2,3.941,6.435,5.838,14307.9,0
0.15,0.8,0.6,8.787,0.965,8.804,20095.9,3.949,6.491,6.037,14176.3,0
0.2,0.4,0.2,9.498,0.592,8.583,20076.3,3.953,7.444,5.796,17037.9,0
0.2,0.4,0.4,9.369,0.679,8.883,19756.0,3.887,7.104,5.787,15942.6,0
0.2,0.4,0.6,9.07,0.964,8.483,19756.2,3.884,6.864,5.754,15092.1,0
0.2,0.6,0.2,9.369,0.679,8.883,19756.0,3.887,7.104,5.787,15942.6,0
0.2,0.6,0.4,9.07,0.964,8.483,19756.2,3.884,6.864,5.754,15092.1,0
0.2,0.6,0.6,9.005,0.882,8.738,19900.9,3.911,6.678,5.8,14660.6,0
0.2,0.8,0.2,9.07,0.964,8.483,19756.2,3.884,6.864,5.754,15092.1,0
0.2,0.8,0.4,9.005,0.882,8.738,19900.9,3.911,6.678,5.8,14660.6,0
0.2,0.8,0.6,8.899,0.942,8.696,19961.8,3.924,6.664,6.008,14413.6,0
0.25,0.4,0.2,10.042,0.126,9.213,21148.9,4.169,8.388,6.679,19330.7,0
0.25,0.4,0.4,9.694,0.216,9.333,20013.5,3.94,7.724,6.5,16849.0,0
0.25,0.4,0.6,9.414,0.696,8.817,19807.6,3.897,7.409,6.25,16029.3,0
0.25,0.6,0.2,9.694,0.216,9.333,20013.5,3.94,7.724,6.5,16849.0,0
0.25,0.6,0.4,9.414,0.696,8.817,19807.6,3.897,7.409,6.25,16029.3,0
0.25,0.6,0.6,9.294,0.816,8.8,19726.5,3.878,7.193,6.308,15354.0,0
0.25,0.8,0.2,9.414,0.696,8.817,19807.6,3.897,7.409,6.25,16029.3,0
0.25,0.8,0.4,9.294,0.816,8.8,19726.5,3.878,7.193,6.308,15354.0,0
0.25,0.8,0.6,9.086,0.952,8.583,19714.1,3.875,7.003,6.125,14873.1,0
0.3,0.4,0.2,10.698,0.335,9.554,22657.3,4.47,9.231,7.383,21572.7,0
0.3,0.4,0.4,10.07,0.237,9.396,20829.2,4.102,8.515,7.008,18724.2,0
0.3,0.4,0.6,9.854,0.291,9.421,19932.0,3.922,7.987,6.808,16771.6,0
0.3,0.6,0.2,10.07,0.237,9.396,20829.2,4.102,8.515,7.008,18724.2,0
0.3,0.6,0.4,9.854,0.291,9.421,19932.0,3.922,7.987,6.808,16771.6,0
0.3,0.6,0.6,9.632,0.345,9.233,19841.2,3.904,7.747,6.8,16147.7,0
0.3,0.8,0.2,9.854,0.291,9.421,19932.0,3.922,7.987,6.808,16771.6,0
0.3,0.8,0.4,9.632,0.345,9.233,19841.2,3.904,7.747,6.8,16147.7,0
0.3,0.8,0.6,9.413,0.611,9.2,19771.5,3.889,7.483,6.858,15494.1,0
