n_init,p_store,seed,policy,retr,store,resp,dead,leg
120,0.5,2026,io,35.523,27.472,31.548,3.747,3.934
120,0.5,2026,last,33.938,27.472,30.746,0.0,3.132
120,0.5,2026,center,41.013,47.472,44.201,16.775,16.587
120,0.5,2026,demand,35.523,27.472,31.548,3.747,3.934
120,0.5,2026,cog,32.208,34.764,33.47,5.903,5.856
120,0.5,2027,io,35.608,27.272,31.492,3.914,4.101
120,0.5,2027,last,33.593,27.272,30.472,0.0,3.081
120,0.5,2027,center,40.318,47.272,43.751,16.547,16.359
120,0.5,2027,demand,35.608,27.272,31.492,3.914,4.101
120,0.5,2027,cog,31.957,34.595,33.259,5.881,5.868
120,0.5,2028,io,33.138,26.051,29.639,3.329,3.506
120,0.5,2028,last,32.395,26.051,29.263,0.0,3.13
120,0.5,2028,center,40.648,46.051,43.315,17.359,17.182
120,0.5,2028,demand,33.138,26.051,29.639,3.329,3.506
120,0.5,2028,cog,30.872,33.395,32.118,6.077,5.985
120,0.5,2029,io,35.7,26.997,31.404,4.162,4.329
120,0.5,2029,last,34.737,26.997,30.916,0.0,3.842
120,0.5,2029,center,40.515,46.997,43.715,16.808,16.641
120,0.5,2029,demand,35.7,26.997,31.404,4.162,4.329
120,0.5,2029,cog,32.617,34.526,33.559,6.552,6.485
120,0.5,2030,io,36.583,27.308,32.004,4.365,4.544
120,0.5,2030,last,34.12,27.308,30.757,0.0,3.297
120,0.5,2030,center,39.972,47.308,43.594,16.311,16.134
120,0.5,2030,demand,36.583,27.308,32.004,4.365,4.544
120,0.5,2030,cog,32.523,34.938,33.715,6.315,6.256
120,0.5,2031,io,34.782,26.833,30.858,3.838,3.99
120,0.5,2031,last,33.117,26.833,30.015,0.0,3.147
120,0.5,2031,center,40.343,46.833,43.547,16.83,16.678
120,0.5,2031,demand,34.782,26.833,30.858,3.838,3.99
120,0.5,2031,cog,31.922,33.459,32.681,5.968,5.813
120,0.5,2032,io,37.248,28.241,32.801,4.242,4.434
120,0.5,2032,last,35.888,28.241,32.113,0.0,3.746
120,0.5,2032,center,41.47,48.241,44.813,16.638,16.446
120,0.5,2032,demand,37.248,28.241,32.801,4.242,4.434
120,0.5,2032,cog,33.987,34.795,34.386,6.082,6.019
120,0.5,2033,io,38.235,28.959,33.656,4.457,4.624
120,0.5,2033,last,35.633,28.959,32.338,0.0,3.306
120,0.5,2033,center,41.227,48.959,45.044,16.18,16.013
120,0.5,2033,demand,38.235,28.959,33.656,4.457,4.624
120,0.5,2033,cog,33.855,37.605,35.706,6.781,6.675
120,0.5,2034,io,38.64,28.469,33.619,4.899,5.078
120,0.5,2034,last,37.265,28.469,32.923,0.0,4.382
120,0.5,2034,center,42.045,48.469,45.216,16.851,16.676
120,0.5,2034,demand,38.64,28.469,33.619,4.899,5.078
120,0.5,2034,cog,35.035,36.756,35.885,7.511,7.344
120,0.5,2035,io,35.968,27.779,31.925,3.694,3.952
120,0.5,2035,last,33.828,27.779,30.842,0.0,2.868
120,0.5,2035,center,41.333,47.779,44.515,16.709,16.542
120,0.5,2035,demand,35.968,27.779,31.925,3.694,3.952
120,0.5,2035,cog,32.697,35.154,33.91,5.891,5.937
120,0.5,2036,io,38.98,29.221,34.162,4.658,4.841
120,0.5,2036,last,38.495,29.221,33.916,0.0,4.595
120,0.5,2036,center,43.215,49.221,46.18,17.038,16.858
120,0.5,2036,demand,38.98,29.221,34.162,4.658,4.841
120,0.5,2036,cog,36.142,37.087,36.609,7.389,7.287
120,0.5,2037,io,36.002,27.313,31.713,4.068,4.256
120,0.5,2037,last,33.992,27.313,30.695,0.0,3.238
