scene,case,rule,goods,seed,strat,n,fail,tot_time2,exp_t,hot_t,heavy_tier,energy,cog,path,util,viol
main,uniform,sum,120,2026,random,120,0,4606.0,19.4019,21.9375,7.1667,48077.3,8.8509,4564.0,0.6325,0
main,uniform,sum,120,2026,seq,120,0,4529.0,19.389,18.7083,4.3333,44966.6,8.2782,3208.0,0.6325,0
main,uniform,sum,120,2026,near,120,0,2196.0,9.2504,9.4167,4.0417,21365.0,3.9332,3240.0,0.6325,0
main,uniform,sum,120,2026,score,120,0,2196.0,8.9203,9.0625,4.0833,21397.7,3.9393,3240.0,0.6325,0
main,uniform,sum,120,2026,awra,120,0,2196.0,7.3438,4.0208,0.8333,16930.1,3.1168,3240.0,0.6325,0
main,uniform,sum,120,7,random,120,0,4734.0,19.4326,19.6042,5.7083,44326.5,8.6568,4540.0,0.6325,0
main,uniform,sum,120,7,seq,120,0,4592.0,19.1399,20.4167,6.25,46216.8,9.026,3240.0,0.6325,0
main,uniform,sum,120,7,near,120,0,2196.0,9.5058,10.4583,3.875,20885.5,4.0789,3240.0,0.6325,0
main,uniform,sum,120,7,score,120,0,2240.0,9.153,9.875,3.9167,20653.2,4.0335,3226.0,0.6325,0
main,uniform,sum,120,7,awra,120,0,2240.0,7.0401,4.1875,0.6667,14939.7,2.9177,3226.0,0.6325,0
main,uniform,sum,120,42,random,120,0,4530.0,19.1552,18.75,5.7917,46701.8,8.681,4428.0,0.6325,0
main,uniform,sum,120,42,seq,120,0,4529.0,19.258,18.3333,4.0833,45292.4,8.419,3208.0,0.6325,0
main,uniform,sum,120,42,near,120,0,2196.0,9.7711,10.7917,4.5417,21418.7,3.9813,3240.0,0.6325,0
main,uniform,sum,120,42,score,120,0,2196.0,9.3418,10.2292,4.4167,21445.4,3.9863,3240.0,0.6325,0
main,uniform,sum,120,42,awra,120,0,2196.0,7.1338,4.6042,0.7083,16307.0,3.0312,3240.0,0.6325,0
main,uniform,sum,120,123,random,120,0,4536.0,18.591,19.3958,7.0417,39612.4,8.981,4564.0,0.6325,0
main,uniform,sum,120,123,seq,120,0,4529.0,19.4941,21.125,7.0833,38637.6,8.76,3208.0,0.6325,0
main,uniform,sum,120,123,near,120,0,2196.0,9.1455,8.3542,4.3333,17769.1,4.0286,3240.0,0.6325,0
main,uniform,sum,120,123,score,120,0,2196.0,8.7916,7.6875,4.4583,17923.2,4.0636,3240.0,0.6325,0
main,uniform,sum,120,123,awra,120,0,2196.0,7.3107,4.4375,0.75,13117.9,2.9741,3240.0,0.6325,0
main,uniform,sum,120,999,random,120,0,4782.0,20.0661,23.5833,6.5,44731.1,8.753,4580.0,0.6325,0
main,uniform,sum,120,999,seq,120,0,4529.0,18.7982,20.375,5.2917,44262.5,8.6613,3208.0,0.6325,0
main,uniform,sum,120,999,near,120,0,2196.0,9.5735,9.625,3.7083,19648.6,3.8448,3240.0,0.6325,0
main,uniform,sum,120,999,score,120,0,2196.0,9.1664,8.9792,3.2917,19215.4,3.7601,3240.0,0.6325,0
main,uniform,sum,120,999,awra,120,0,2196.0,7.2707,4.25,0.5417,15159.8,2.9665,3240.0,0.6325,0
main,skew,sum,120,2026,random,120,0,4606.0,21.0704,21.9375,7.1667,48077.3,8.8509,4564.0,0.6325,0
main,skew,sum,120,2026,seq,120,0,4529.0,18.7291,18.7083,4.3333,44966.6,8.2782,3208.0,0.6325,0
main,skew,sum,120,2026,near,120,0,2196.0,9.8193,9.4167,4.0417,21365.0,3.9332,3240.0,0.6325,0
main,skew,sum,120,2026,score,120,0,2240.0,9.3991,8.2708,4.0833,21519.5,3.9617,3226.0,0.6325,0
main,skew,sum,120,2026,awra,120,0,2284.0,6.5307,4.6042,0.5833,16149.1,2.973,3216.0,0.6325,0
main,skew,sum,120,7,random,120,0,4734.0,19.3189,19.6042,5.7083,44326.5,8.6568,4540.0,0.6325,0
main,skew,sum,120,7,seq,120,0,4592.0,20.777,20.4167,6.25,46216.8,9.026,3240.0,0.6325,0
main,skew,sum,120,7,near,120,0,2196.0,9.7783,10.4583,3.875,20885.5,4.0789,3240.0,0.6325,0
main,skew,sum,120,7,score,120,0,2328.0,9.0126,9.4792,3.8333,20141.4,3.9336,3214.0,0.6325,0
main,skew,sum,120,7,awra,120,0,2416.0,5.8491,6.125,0.5,14233.4,2.7797,3226.0,0.6325,0
main,skew,sum,120,42,random,120,0,4530.0,19.3979,18.75,5.7917,46701.8,8.681,4428.0,0.6325,0
main,skew,sum,120,42,seq,120,0,4529.0,19.7434,18.3333,4.0833,45292.4,8.419,3208.0,0.6325,0
