scenario,strat,n_runs,exp_t_mean,exp_t_ci95,energy_mean,energy_ci95,heavy_tier_mean,heavy_tier_ci95,hot_t_mean,hot_t_ci95,exp_t_relci_pct,fail_mean,viol_sum
L120_uniform,random,30,18.914,0.301,44562.073,1048.505,6.965,0.3,19.392,0.845,1.59,0,0
L120_uniform,seq,30,18.911,0.188,43920.587,730.983,5.335,0.291,18.451,0.714,0.99,0,0
L120_uniform,near,30,9.093,0.089,20600.6,412.416,4.1,0.184,8.892,0.291,0.98,0,0
L120_uniform,score,30,8.804,0.085,20355.853,411.536,3.96,0.206,8.396,0.304,0.97,0,0
L120_uniform,awra,30,7.301,0.044,15661.487,412.697,0.767,0.066,4.445,0.147,0.6,0,0
L120_uniform,cb,30,9.51,0.069,33737.997,723.173,5.45,0.352,3.417,0.0,0.73,0,0
L120_uniform,tob,30,6.836,0.039,20715.627,410.7,3.989,0.173,3.417,0.0,0.57,0,0
L120_skew,random,30,19.403,0.856,44562.073,1048.505,6.965,0.3,19.392,0.845,4.41,0,0
L120_skew,seq,30,18.318,0.835,43920.587,730.983,5.335,0.291,18.451,0.714,4.56,0,0
L120_skew,near,30,8.776,0.393,20600.6,412.416,4.1,0.184,8.892,0.291,4.48,0,0
L120_skew,score,30,8.358,0.468,20189.907,418.608,3.881,0.204,8.314,0.367,5.6,0,0
L120_skew,awra,30,6.332,0.281,14698.0,385.33,0.524,0.02,6.812,0.367,4.44,0,0
L120_skew,cb,30,6.202,0.354,33520.597,701.758,5.606,0.287,3.574,0.1,5.71,0,0
L120_skew,tob,30,4.561,0.226,20715.44,417.759,3.992,0.166,3.417,0.0,4.96,0,0
L120_heavy,random,30,18.509,0.746,54766.603,1099.111,6.722,0.34,18.733,0.804,4.03,0,0
L120_heavy,seq,30,18.904,0.809,55823.513,680.013,5.276,0.255,19.244,0.767,4.28,0,0
L120_heavy,near,30,8.776,0.393,25270.16,313.647,4.097,0.185,8.892,0.291,4.48,0,0
L120_heavy,score,30,8.212,0.47,25152.137,318.793,4.018,0.203,8.408,0.321,5.72,0,0
L120_heavy,awra,30,5.799,0.266,20629.66,378.383,0.562,0.022,6.46,0.363,4.59,0,0
L120_heavy,cb,30,6.221,0.353,42093.567,597.398,5.786,0.279,3.574,0.1,5.67,0,0
L120_heavy,tob,30,4.561,0.226,25411.823,307.719,3.982,0.161,3.417,0.0,4.96,0,0
tiny_light,random,30,20.921,2.14,2838.51,162.739,9.575,0.992,20.688,2.429,10.23,0,0
tiny_light,seq,30,15.484,1.308,2354.47,90.087,8.492,0.894,16.592,1.575,8.45,0,0
tiny_light,near,30,3.022,0.179,312.09,9.503,1.125,0.149,3.029,0.175,5.92,0,0
tiny_light,score,30,2.933,0.215,97.903,4.181,0.317,0.085,2.65,0.336,7.33,0,0
tiny_light,awra,30,2.485,0.214,66.18,3.612,0.0,0.0,1.683,0.181,8.61,0,0
tiny_light,cb,30,2.06,0.217,389.79,33.813,1.317,0.178,1.425,0.038,10.53,0,0
tiny_light,tob,30,1.716,0.179,304.53,13.54,0.925,0.139,1.375,0.0,10.43,0,0
light_sparse,random,30,20.515,1.511,8709.4,265.145,9.694,0.481,20.486,1.399,7.37,0,0
light_sparse,seq,30,18.405,1.133,8186.29,157.796,9.053,0.423,18.111,1.228,6.16,0,0
light_sparse,near,30,5.567,0.241,1844.24,36.122,2.156,0.138,5.558,0.182,4.33,0,0
light_sparse,score,30,4.551,0.288,1607.893,36.082,1.819,0.122,4.4,0.265,6.33,0,0
light_sparse,awra,30,3.311,0.202,1209.437,33.298,0.075,0.019,3.179,0.172,6.1,0,0
light_sparse,cb,30,3.683,0.287,2955.803,71.164,3.278,0.237,2.488,0.077,7.79,0,0
light_sparse,tob,30,2.982,0.22,1802.983,41.925,2.014,0.136,2.333,0.0,7.38,0,0
light_full,random,30,20.408,0.945,17276.103,287.838,9.694,0.359,20.553,0.828,4.63,0,0
light_full,seq,30,19.029,0.899,17165.577,224.925,9.456,0.325,19.198,0.937,4.72,0,0
