scenario,metric,a,b,diff_mean,diff_pct,diff_ci_lo,diff_ci_hi,ci_covers_0,t,sig,p,fail_a,fail_b
L120_uniform,exp_t,awra,near,-1.792,-19.71,-1.888,-1.696,no,-38.18,***,2.38e-26,0,0
L120_uniform,energy,awra,near,-4939.113,-23.98,-5243.842,-4634.385,no,-33.15,***,1.32e-24,0,0
L120_uniform,exp_t,awra,score,-1.503,-17.07,-1.59,-1.416,no,-35.29,***,2.23e-25,0,0
L120_uniform,energy,awra,score,-4694.367,-23.06,-4973.061,-4415.673,no,-34.45,***,4.43e-25,0,0
L120_uniform,exp_t,awra,seq,-11.61,-61.39,-11.799,-11.421,no,-125.44,***,3.20e-41,0,0
L120_uniform,energy,awra,seq,-28259.1,-64.34,-28766.518,-27751.682,no,-113.9,***,5.23e-40,0,0
L120_uniform,exp_t,score,near,-0.289,-3.18,-0.312,-0.265,no,-25.26,***,2.70e-21,0,0
L120_uniform,energy,score,near,-244.747,-1.19,-329.738,-159.755,no,-5.89,***,2.16e-06,0,0
L120_uniform,exp_t,awra,cb,-2.209,-23.23,-2.269,-2.149,no,-75.44,***,7.78e-35,0,0
L120_uniform,energy,awra,cb,-18076.51,-53.58,-18547.581,-17605.439,no,-78.48,***,2.48e-35,0,0
L120_uniform,exp_t,awra,tob,0.465,6.8,0.432,0.498,no,28.82,***,6.75e-23,0,0
L120_uniform,energy,awra,tob,-5054.14,-24.4,-5287.073,-4821.207,no,-44.38,***,3.27e-28,0,0
L120_uniform,exp_t,tob,near,-2.257,-24.82,-2.354,-2.16,no,-47.59,***,4.43e-29,0,0
L120_uniform,energy,tob,near,115.027,0.56,-179.991,410.044,yes,0.8,ns,4.32e-01,0,0
L120_skew,exp_t,awra,near,-2.444,-27.85,-2.96,-1.927,no,-9.68,***,1.38e-10,0,0
L120_skew,energy,awra,near,-5902.6,-28.65,-6178.717,-5626.483,no,-43.72,***,5.01e-28,0,0
L120_skew,exp_t,awra,score,-2.026,-24.24,-2.579,-1.474,no,-7.5,***,2.89e-08,0,0
L120_skew,energy,awra,score,-5491.907,-27.2,-5724.884,-5258.929,no,-48.21,***,3.05e-29,0,0
L120_skew,exp_t,awra,seq,-11.986,-65.43,-12.802,-11.17,no,-30.05,***,2.09e-23,0,0
L120_skew,energy,awra,seq,-29222.587,-66.54,-29719.985,-28725.188,no,-120.16,***,1.11e-40,0,0
L120_skew,exp_t,score,near,-0.418,-4.76,-0.55,-0.286,no,-6.48,***,4.31e-07,0,0
L120_skew,energy,score,near,-410.693,-1.99,-540.771,-280.616,no,-6.46,***,4.58e-07,0,0
L120_skew,exp_t,awra,cb,0.13,2.1,-0.107,0.367,yes,1.12,ns,2.71e-01,0,0
L120_skew,energy,awra,cb,-18822.597,-56.15,-19326.129,-18319.064,no,-76.45,***,5.29e-35,0,0
L120_skew,exp_t,awra,tob,1.771,38.83,1.582,1.96,no,19.19,***,5.00e-18,0,0
L120_skew,energy,awra,tob,-6017.44,-29.05,-6281.268,-5753.612,no,-46.65,***,7.85e-29,0,0
L120_skew,exp_t,tob,near,-4.215,-48.03,-4.638,-3.792,no,-20.39,***,9.67e-19,0,0
L120_skew,energy,tob,near,114.84,0.56,-175.848,405.528,yes,0.81,ns,4.26e-01,0,0
L120_heavy,exp_t,awra,near,-2.977,-33.93,-3.475,-2.48,no,-12.23,***,5.68e-13,0,0
L120_heavy,energy,awra,near,-4640.5,-18.36,-4890.327,-4390.673,no,-37.99,***,2.76e-26,0,0
L120_heavy,exp_t,awra,score,-2.413,-29.39,-2.965,-1.861,no,-8.94,***,7.96e-10,0,0
L120_heavy,energy,awra,score,-4522.477,-17.98,-4753.396,-4291.557,no,-40.06,***,6.10e-27,0,0
L120_heavy,exp_t,awra,seq,-13.105,-69.33,-13.936,-12.275,no,-32.26,***,2.84e-24,0,0
L120_heavy,energy,awra,seq,-35193.853,-63.04,-35622.028,-34765.678,no,-168.11,***,6.66e-45,0,0
L120_heavy,exp_t,score,near,-0.564,-6.43,-0.672,-0.457,no,-10.74,***,1.27e-11,0,0
