scenario,objective,seed,awra,lap_opt,gap_pct
L120_uniform,score,2026,29.4814,29.4567,0.084
L120_uniform,score,2027,28.7893,28.7665,0.08
L120_uniform,score,2028,27.4953,27.4819,0.049
L120_uniform,score,2029,27.5268,27.4894,0.136
L120_uniform,score,2030,28.6205,28.5545,0.231
L120_uniform,score,2031,29.8977,29.8767,0.07
L120_uniform,score,2032,29.9319,29.9147,0.058
L120_uniform,score,2033,28.598,28.5776,0.072
L120_uniform,score,2034,27.7416,27.71,0.114
L120_uniform,score,2035,28.8934,28.8725,0.073
L120_uniform,score,2036,27.9645,27.9433,0.076
L120_uniform,score,2037,28.2214,28.1872,0.121
L120_uniform,score,2038,27.9069,27.8871,0.071
L120_uniform,score,2039,30.2053,30.1782,0.09
L120_uniform,score,2040,27.8086,27.79,0.067
L120_uniform,score,2041,28.0938,28.0846,0.033
L120_uniform,score,2042,28.2568,28.2294,0.097
L120_uniform,score,2043,27.2438,27.2282,0.057
L120_uniform,score,2044,27.0747,27.0204,0.201
L120_uniform,score,2045,28.1357,28.1151,0.073
L120_uniform,score,2046,28.0183,28.0043,0.05
L120_uniform,score,2047,28.4666,28.4172,0.174
L120_uniform,score,2048,27.4028,27.3766,0.096
L120_uniform,score,2049,29.1229,29.059,0.22
L120_uniform,score,2050,28.6105,28.5679,0.149
L120_uniform,score,2051,29.0902,29.0618,0.097
L120_uniform,score,2052,28.1602,28.1259,0.122
L120_uniform,score,2053,28.812,28.7741,0.132
L120_uniform,score,2054,28.693,28.6352,0.202
L120_uniform,score,2055,27.2505,27.227,0.086
L120_uniform,exp_t,2026,46560.405,44104.48,5.568
L120_uniform,exp_t,2027,44726.435,41595.735,7.526
L120_uniform,exp_t,2028,45259.86,42639.32,6.146
L120_uniform,exp_t,2029,43957.1,41232.615,6.608
L120_uniform,exp_t,2030,44474.96,41746.725,6.535
L120_uniform,exp_t,2031,46038.575,42525.66,8.261
L120_uniform,exp_t,2032,44780.455,42148.285,6.245
L120_uniform,exp_t,2033,41882.475,39238.84,6.737
L120_uniform,exp_t,2034,42143.985,38967.09,8.153
L120_uniform,exp_t,2035,44842.37,42587.105,5.296
L120_uniform,exp_t,2036,42137.235,39233.83,7.4
L120_uniform,exp_t,2037,47673.12,44388.89,7.399
L120_uniform,exp_t,2038,41419.715,37373.135,10.828
L120_uniform,exp_t,2039,44815.305,41321.625,8.455
L120_uniform,exp_t,2040,47406.93,44623.97,6.236
L120_uniform,exp_t,2041,42374.98,40097.915,5.679
L120_uniform,exp_t,2042,45404.19,42656.73,6.441
L120_uniform,exp_t,2043,43813.13,41633.765,5.235
L120_uniform,exp_t,2044,43859.505,41115.175,6.675
L120_uniform,exp_t,2045,44837.66,41354.99,8.421
L120_uniform,exp_t,2046,41485.45,39098.225,6.106
L120_uniform,exp_t,2047,45289.41,42248.155,7.199
L120_uniform,exp_t,2048,44751.725,41841.24,6.956
L120_uniform,exp_t,2049,48013.32,45863.15,4.688
L120_uniform,exp_t,2050,45259.08,43003.095,5.246
L120_uniform,exp_t,2051,46238.725,43207.04,7.017
L120_uniform,exp_t,2052,39995.72,36930.795,8.299
L120_uniform,exp_t,2053,46661.265,43149.415,8.139
L120_uniform,exp_t,2054,41986.42,39861.815,5.33
L120_uniform,exp_t,2055,44698.28,42396.365,5.43
L120_skew,score,2026,24.8362,24.8328,0.013
L120_skew,score,2027,23.7667,23.7639,0.012
L120_skew,score,2028,22.3947,22.3939,0.003
L120_skew,score,2029,22.2931,22.2931,0.0
L120_skew,score,2030,23.2928,23.2898,0.013
L120_skew,score,2031,24.3118,24.3116,0.001
L120_skew,score,2032,24.6582,24.6575,0.003
L120_skew,score,2033,23.8314,23.8282,0.014
L120_skew,score,2034,22.7257,22.7249,0.003
L120_skew,score,2035,24.0128,24.0081,0.019
L120_skew,score,2036,23.0356,23.0354,0.001
L120_skew,score,2037,23.0245,23.0236,0.004
L120_skew,score,2038,22.8138,22.8132,0.003
L120_skew,score,2039,24.8265,24.8263,0.001
L120_skew,score,2040,22.3979,22.393,0.022
L120_skew,score,2041,23.7187,23.717,0.007
L120_skew,score,2042,22.7546,22.7535,0.005
L120_skew,score,2043,22.3624,22.361,0.006
L120_skew,score,2044,21.9625,21.9617,0.004
L120_skew,score,2045,22.7943,22.7913,0.013
L120_skew,score,2046,23.5609,23.5586,0.01
L120_skew,score,2047,23.1024,23.0967,0.024
L120_skew,score,2048,22.2534,22.2527,0.003
L120_skew,score,2049,23.2352,23.2352,-0.0
L120_skew,score,2050,23.9769,23.9766,0.001
L120_skew,score,2051,23.7455,23.7449,0.002
L120_skew,score,2052,23.7531,23.7323,0.088
L120_skew,score,2053,22.6851,22.6804,0.021
L120_skew,score,2054,24.3041,24.3027,0.006
L120_skew,score,2055,22.2096,22.2086,0.005
L120_skew,exp_t,2026,2770.255,2351.32,17.817
L120_skew,exp_t,2027,2586.97,2175.965,18.888
L120_skew,exp_t,2028,3907.155,2705.535,44.413
L120_skew,exp_t,2029,3657.91,2370.385,54.317
L120_skew,exp_t,2030,3806.55,2489.975,52.875
L120_skew,exp_t,2031,3848.49,2914.365,32.052
L120_skew,exp_t,2032,4378.535,3264.695,34.118
L120_skew,exp_t,2033,4110.945,2446.75,68.017
L120_skew,exp_t,2034,4034.02,2495.975,61.621
L120_skew,exp_t,2035,3303.885,2622.385,25.988
L120_skew,exp_t,2036,3137.925,2205.385,42.285
L120_skew,exp_t,2037,2917.855,2334.425,24.992
L120_skew,exp_t,2038,2927.065,2036.84,43.706
L120_skew,exp_t,2039,3279.7,2317.0,41.549
L120_skew,exp_t,2040,4197.83,2898.53,44.826
L120_skew,exp_t,2041,2943.455,2211.885,33.075
L120_skew,exp_t,2042,3084.055,2243.245,37.482
L120_skew,exp_t,2043,3200.61,2334.125,37.122
L120_skew,exp_t,2044,3615.52,2589.465,39.624
L120_skew,exp_t,2045,4030.925,2507.75,60.739
L120_skew,exp_t,2046,2865.01,2090.39,37.056
L120_skew,exp_t,2047,3927.425,2691.05,45.944
L120_skew,exp_t,2048,3146.525,2205.85,42.645
L120_skew,exp_t,2049,4113.9,3141.855,30.939
L120_skew,exp_t,2050,2844.91,2312.06,23.047
L120_skew,exp_t,2051,3122.18,2322.4,34.438
L120_skew,exp_t,2052,2766.355,2101.435,31.641
L120_skew,exp_t,2053,4036.035,2734.335,47.606
L120_skew,exp_t,2054,2786.715,2176.615,28.03
L120_skew,exp_t,2055,3475.62,2329.83,49.179
L120_heavy,score,2026,28.9308,28.9283,0.009
L120_heavy,score,2027,27.965,27.9629,0.008
L120_heavy,score,2028,26.9999,26.9996,0.001
L120_heavy,score,2029,26.9021,26.9001,0.008
L120_heavy,score,2030,27.7625,27.7625,0.0
L120_heavy,score,2031,28.9508,28.9505,0.001
L120_heavy,score,2032,28.9459,28.9458,0.0
L120_heavy,score,2033,28.0773,28.0753,0.007
L120_heavy,score,2034,26.7934,26.7934,0.0
L120_heavy,score,2035,28.6061,28.606,0.0
L120_heavy,score,2036,27.4675,27.4666,0.003
L120_heavy,score,2037,27.3131,27.3081,0.018
L120_heavy,score,2038,27.4435,27.4433,0.001
L120_heavy,score,2039,29.0593,29.059,0.001
L120_heavy,score,2040,27.0142,27.0113,0.01
L120_heavy,score,2041,28.2138,28.2001,0.048
L120_heavy,score,2042,27.1723,27.1718,0.002
L120_heavy,score,2043,26.8723,26.8721,0.001
L120_heavy,score,2044,26.3732,26.3731,0.0
L120_heavy,score,2045,27.2383,27.2369,0.005
L120_heavy,score,2046,27.8212,27.8189,0.009
L120_heavy,score,2047,27.5116,27.5111,0.002
L120_heavy,score,2048,26.8817,26.8794,0.009
L120_heavy,score,2049,27.9031,27.9027,0.002
L120_heavy,score,2050,28.3701,28.364,0.022
L120_heavy,score,2051,28.2889,28.2882,0.002
L120_heavy,score,2052,28.5631,28.5557,0.026
L120_heavy,score,2053,27.1099,27.1059,0.015
L120_heavy,score,2054,28.8036,28.801,0.009
L120_heavy,score,2055,26.8742,26.8732,0.004
L120_heavy,exp_t,2026,2612.72,2351.32,11.117
L120_heavy,exp_t,2027,2501.37,2175.965,14.955
L120_heavy,exp_t,2028,3437.05,2705.535,27.038
L120_heavy,exp_t,2029,3451.96,2370.385,45.629
L120_heavy,exp_t,2030,3405.115,2489.975,36.753
L120_heavy,exp_t,2031,3667.81,2914.365,25.853
L120_heavy,exp_t,2032,4007.615,3264.695,22.756
L120_heavy,exp_t,2033,3561.12,2446.75,45.545
L120_heavy,exp_t,2034,3443.56,2495.975,37.965
L120_heavy,exp_t,2035,3052.435,2622.385,16.399
L120_heavy,exp_t,2036,2672.255,2205.385,21.17
L120_heavy,exp_t,2037,2697.66,2334.425,15.56
L120_heavy,exp_t,2038,2686.685,2036.84,31.905
L120_heavy,exp_t,2039,2966.705,2317.0,28.041
L120_heavy,exp_t,2040,3873.545,2898.53,33.638
L120_heavy,exp_t,2041,2704.19,2211.885,22.257
L120_heavy,exp_t,2042,2717.56,2243.245,21.144
L120_heavy,exp_t,2043,2898.29,2334.125,24.17
L120_heavy,exp_t,2044,3357.925,2589.465,29.676
L120_heavy,exp_t,2045,3525.675,2507.75,40.591
L120_heavy,exp_t,2046,2565.83,2090.39,22.744
L120_heavy,exp_t,2047,3544.785,2691.05,31.725
L120_heavy,exp_t,2048,2881.495,2205.85,30.63
L120_heavy,exp_t,2049,3977.795,3141.855,26.607
L120_heavy,exp_t,2050,2759.195,2312.06,19.339
L120_heavy,exp_t,2051,2990.09,2322.4,28.75
L120_heavy,exp_t,2052,2630.365,2101.435,25.17
L120_heavy,exp_t,2053,3558.58,2734.335,30.144
L120_heavy,exp_t,2054,2564.55,2176.615,17.823
L120_heavy,exp_t,2055,3306.045,2329.83,41.901
tiny_light,score,2026,2.3796,2.3655,0.596
tiny_light,score,2027,2.5399,2.5399,0.0
tiny_light,score,2028,2.5439,2.5439,0.0
tiny_light,score,2029,2.5204,2.5204,0.0
tiny_light,score,2030,2.4878,2.4878,0.0
tiny_light,score,2031,2.5736,2.5736,0.0
