turnover,seed,delta,retr_mean,retr_late,tot_time,reslot_t,moves,fails,final_q
10,2026,0.15,34.445,36.04,13561.5,115.5,3,0,8.642
10,2026,0.0,34.36,35.755,13523.0,119.5,3,0,8.377
10,2027,0.15,35.115,36.73,13885.0,229.0,5,0,8.69
10,2027,0.0,34.547,35.07,13565.0,275.0,6,0,8.156
10,2028,0.15,35.108,36.905,13760.5,465.0,12,0,8.641
10,2028,0.0,34.788,36.17,13628.0,517.0,12,0,7.403
10,2029,0.15,36.535,37.735,14310.5,396.5,11,0,8.441
10,2029,0.0,35.425,36.465,13970.0,403.0,11,0,8.064
10,2030,0.15,34.35,33.32,13491.0,198.0,6,0,8.967
10,2030,0.0,33.678,33.08,13221.0,134.0,4,0,8.376
10,2031,0.15,36.52,39.83,14400.5,138.0,4,0,9.628
10,2031,0.0,35.835,38.97,14063.5,88.0,2,0,8.989
10,2032,0.15,35.355,37.575,13914.0,620.0,14,0,7.64
10,2032,0.0,34.78,37.055,13724.5,643.0,15,0,7.228
10,2033,0.15,37.83,40.355,14999.0,231.5,6,0,9.43
10,2033,0.0,36.523,37.65,14359.0,234.0,6,0,8.797
10,2034,0.15,39.225,41.17,15496.5,146.0,4,0,10.204
10,2034,0.0,37.18,39.135,14624.5,225.0,6,0,8.831
10,2035,0.15,36.278,37.785,14224.0,255.0,6,0,8.323
10,2035,0.0,35.458,36.215,13896.0,250.5,6,0,8.257
10,2036,0.15,38.565,38.47,15154.5,242.5,7,0,9.073
10,2036,0.0,36.9,37.25,14530.5,322.5,8,0,8.047
10,2037,0.15,37.475,37.41,14747.5,193.0,6,0,8.694
10,2037,0.0,36.513,36.71,14362.5,199.5,6,0,8.204
10,2038,0.15,35.33,34.795,13915.5,439.5,11,0,8.905
10,2038,0.0,34.403,34.35,13594.0,373.5,9,0,8.552
10,2039,0.15,37.032,36.34,14527.5,564.0,14,0,8.352
10,2039,0.0,35.71,35.38,13998.5,581.0,14,0,7.684
10,2040,0.15,34.93,36.545,13817.0,360.0,9,0,8.916
10,2040,0.0,34.542,35.84,13608.0,357.0,9,0,8.551
10,2041,0.15,35.252,36.5,13877.0,381.5,11,0,8.268
10,2041,0.0,35.218,36.56,13809.0,381.5,11,0,7.846
10,2042,0.15,37.557,37.375,14698.0,0.0,0,0,9.267
10,2042,0.0,36.225,36.9,14210.0,0.0,0,0,8.528
10,2043,0.15,38.943,38.245,15301.0,166.0,4,0,9.749
10,2043,0.0,35.135,36.55,13791.0,148.5,3,0,8.55
10,2044,0.15,34.852,35.95,13703.5,334.0,8,0,6.614
10,2044,0.0,34.16,34.745,13435.5,439.0,12,0,6.022
10,2045,0.15,35.725,38.22,14071.5,367.5,11,0,8.733
10,2045,0.0,34.46,35.775,13610.5,403.5,11,0,7.99
10,2046,0.15,36.3,37.415,14333.0,162.5,5,0,9.799
10,2046,0.0,35.1,36.51,13844.0,222.0,6,0,8.683
10,2047,0.15,34.66,35.96,13653.0,218.0,6,0,8.072
10,2047,0.0,34.383,35.31,13589.0,156.0,4,0,8.181
10,2048,0.15,35.765,36.855,14105.5,36.0,1,0,9.21
10,2048,0.0,34.562,35.285,13575.0,36.0,1,0,8.41
10,2049,0.15,33.188,34.78,13021.5,346.0,8,0,7.309
10,2049,0.0,33.188,34.69,13021.5,355.0,8,0,6.937
