turnover,seed,delta,retr_mean,retr_late,tot_time,reslot_t,moves,fails,final_q
3,2026,0.15,50.727,52.83,19285.0,0.0,0,7,16.037
3,2026,0.0,50.185,50.08,18699.5,0.0,0,11,15.237
3,2027,0.15,51.69,54.065,19833.0,167.0,2,5,15.094
3,2027,0.0,51.245,52.345,19642.5,102.0,1,5,14.881
3,2028,0.15,55.017,57.705,21232.5,176.5,2,5,15.658
3,2028,0.0,51.663,51.835,19830.5,83.0,1,5,16.48
3,2029,0.15,49.685,51.445,19176.0,37.0,1,4,16.649
3,2029,0.0,52.483,54.24,20029.5,37.0,1,6,17.533
3,2030,0.15,51.505,49.58,20063.0,57.5,1,3,17.874
3,2030,0.0,53.99,54.24,20655.0,58.0,1,6,17.706
3,2031,0.15,51.985,54.715,19873.5,180.0,2,5,15.871
3,2031,0.0,53.932,57.075,20329.5,222.5,3,8,15.838
3,2032,0.15,51.708,55.025,19877.5,0.0,0,4,17.25
3,2032,0.0,51.175,53.87,19285.5,0.0,0,8,17.338
3,2033,0.15,53.115,56.05,20581.0,199.0,4,3,16.154
3,2033,0.0,51.405,53.12,19520.5,200.0,4,6,15.599
3,2034,0.15,53.917,53.8,20762.5,0.0,0,5,16.868
3,2034,0.0,50.375,50.39,19121.0,0.0,0,6,16.964
3,2035,0.15,50.295,51.71,19367.0,38.5,1,5,16.707
3,2035,0.0,50.267,50.915,19036.0,43.0,1,7,16.793
3,2036,0.15,51.99,54.835,20236.0,0.0,0,2,16.685
3,2036,0.0,52.587,55.105,20194.0,0.0,0,5,16.117
3,2037,0.15,52.785,54.115,20494.5,174.0,3,2,17.42
3,2037,0.0,51.81,52.25,19752.0,182.0,3,6,15.479
3,2038,0.15,51.14,50.51,19229.5,377.0,6,8,15.862
3,2038,0.0,52.24,52.505,19789.5,377.5,6,8,16.092
3,2039,0.15,54.27,55.52,20795.0,0.0,0,5,15.57
3,2039,0.0,55.9,57.095,21242.5,197.5,4,7,15.391
3,2040,0.15,48.475,47.66,18332.0,0.0,0,7,15.933
3,2040,0.0,49.865,49.905,18892.5,51.0,1,7,16.198
3,2041,0.15,52.955,51.045,20249.0,0.0,0,5,15.778
3,2041,0.0,53.312,52.165,20305.0,60.5,1,6,15.437
3,2042,0.15,53.645,57.4,20487.0,313.5,5,6,17.072
3,2042,0.0,52.11,54.205,19857.5,312.0,5,6,16.916
3,2043,0.15,53.517,53.62,20701.5,0.0,0,3,16.575
3,2043,0.0,52.672,51.34,20217.5,0.0,0,4,15.686
3,2044,0.15,50.852,54.92,19651.5,78.5,1,4,17.239
3,2044,0.0,53.96,54.985,20905.5,238.5,4,4,16.423
3,2045,0.15,48.685,47.685,18638.0,119.0,3,4,16.374
3,2045,0.0,48.86,47.84,18726.0,127.0,3,4,16.274
3,2046,0.15,52.655,52.65,20185.0,312.5,6,6,14.672
3,2046,0.0,51.98,51.505,19851.5,264.0,5,7,15.278
3,2047,0.15,55.085,54.16,21369.0,282.0,4,3,17.465
3,2047,0.0,55.14,54.225,21391.0,282.0,4,3,17.405
3,2048,0.15,56.415,59.995,21649.5,0.0,0,5,16.105
3,2048,0.0,52.617,54.055,19992.5,0.0,0,6,16.081
3,2049,0.15,50.112,54.51,19505.0,0.0,0,1,16.742
3,2049,0.0,51.352,55.92,19872.5,0.0,0,2,17.44
3,2050,0.15,49.85,48.145,19192.0,228.0,3,5,15.513
3,2050,0.0,52.083,52.635,19829.5,149.0,2,8,15.925
3,2051,0.15,51.97,54.09,19843.5,161.0,2,6,16.906
3,2051,0.0,52.705,54.16,20150.5,272.0,6,5,16.773
3,2052,0.15,54.525,56.77,21425.0,243.0,3,1,16.487
3,2052,0.0,54.17,56.245,21213.5,342.0,4,1,16.452
3,2053,0.15,53.737,56.26,20822.0,59.0,1,4,17.234
3,2053,0.0,53.54,54.99,20331.5,0.0,0,7,16.977
3,2054,0.15,52.822,55.3,20447.5,136.0,2,3,15.82
3,2054,0.0,51.43,51.895,19667.0,114.0,2,4,16.876
3,2055,0.15,55.182,55.7,21592.0,52.0,2,2,16.082
3,2055,0.0,53.985,53.74,20845.0,73.5,1,4,16.147
