scenario,seed,selector,strat,exp_t,fail,excess_fail,oracle_strat,oracle_exp,gap_pct,attain_pct
L120_uniform,2026,det_holistic,awra,7.3438,0,0,tob,6.9565,5.568,94.73
L120_uniform,2026,det_lexicographic,tob,6.9565,0,0,tob,6.9565,0.0,100.0
L120_uniform,2026,det_speed,tob,6.9565,0,0,tob,6.9565,0.0,100.0
L120_uniform,2026,random,random,19.4019,0,0,tob,6.9565,178.904,35.85
L120_uniform,2026,seq,seq,19.389,0,0,tob,6.9565,178.719,35.88
L120_uniform,2026,near,near,9.2504,0,0,tob,6.9565,32.976,75.2
L120_uniform,2026,score,score,8.9203,0,0,tob,6.9565,28.231,77.98
L120_uniform,2026,awra,awra,7.3438,0,0,tob,6.9565,5.568,94.73
L120_uniform,2026,cb,cb,9.7385,0,0,tob,6.9565,39.993,71.43
L120_uniform,2026,tob,tob,6.9565,0,0,tob,6.9565,0.0,100.0
L120_uniform,2027,det_holistic,awra,7.5081,0,0,tob,6.9826,7.526,93.0
L120_uniform,2027,det_lexicographic,tob,6.9826,0,0,tob,6.9826,0.0,100.0
L120_uniform,2027,det_speed,tob,6.9826,0,0,tob,6.9826,0.0,100.0
L120_uniform,2027,random,random,17.581,0,0,tob,6.9826,151.784,39.72
L120_uniform,2027,seq,seq,19.0412,0,0,tob,6.9826,172.696,36.67
L120_uniform,2027,near,near,9.5006,0,0,tob,6.9826,36.062,73.5
L120_uniform,2027,score,score,9.2783,0,0,tob,6.9826,32.878,75.26
L120_uniform,2027,awra,awra,7.5081,0,0,tob,6.9826,7.526,93.0
L120_uniform,2027,cb,cb,9.6662,0,0,tob,6.9826,38.433,72.24
L120_uniform,2027,tob,tob,6.9826,0,0,tob,6.9826,0.0,100.0
L120_uniform,2028,det_holistic,awra,7.2405,0,0,tob,6.8212,6.146,94.21
L120_uniform,2028,det_lexicographic,tob,6.8212,0,0,tob,6.8212,0.0,100.0
L120_uniform,2028,det_speed,tob,6.8212,0,0,tob,6.8212,0.0,100.0
L120_uniform,2028,random,random,19.1361,0,0,tob,6.8212,180.537,35.65
L120_uniform,2028,seq,seq,18.122,0,0,tob,6.8212,165.67,37.64
L120_uniform,2028,near,near,8.608,0,0,tob,6.8212,26.195,79.24
L120_uniform,2028,score,score,8.3714,0,0,tob,6.8212,22.726,81.48
L120_uniform,2028,awra,awra,7.2405,0,0,tob,6.8212,6.146,94.21
L120_uniform,2028,cb,cb,9.4637,0,0,tob,6.8212,38.739,72.08
L120_uniform,2028,tob,tob,6.8212,0,0,tob,6.8212,0.0,100.0
