cycle,q_near_none,q_near_nightly,q_near_triggered,q_score_none,q_score_nightly,q_score_triggered
1,6.471,6.471,6.471,6.471,6.471,6.471
2,6.8992,6.8992,6.8992,6.8992,6.8992,6.8992
3,6.8663,6.8663,6.8663,6.8663,6.8663,6.8663
4,7.2007,7.2007,7.2007,7.2007,7.2007,7.2007
5,7.2279,7.2279,7.2279,7.2279,7.2279,7.2279
6,7.1915,7.1915,7.1915,7.1915,7.1915,7.1915
7,6.8468,6.8468,6.8468,6.8468,6.8468,6.8468
8,6.818,6.818,6.818,6.8204,6.8204,6.8204
9,6.6712,6.6712,6.6712,6.642,6.642,6.642
10,6.639,6.639,6.639,6.6191,6.6191,6.6191
11,6.581,6.581,6.581,6.5476,6.5476,6.5476
12,6.8071,6.8071,6.8071,6.774,6.774,6.774
13,6.7931,6.7931,6.7931,6.7509,6.7509,6.7509
14,6.9405,6.9405,6.9405,6.9323,6.9323,6.9323
15,7.3235,7.3235,7.3235,7.3131,7.3131,7.3131
16,7.6367,7.6367,7.6367,7.6257,7.6257,7.6257
17,7.4513,7.4513,7.4513,7.4406,7.4406,7.4406
18,7.5168,7.5168,7.5168,7.5061,7.5061,7.5061
19,7.203,7.203,7.203,7.193,7.193,7.193
20,7.6967,7.6967,7.6967,7.6868,7.6868,7.6868
21,7.5505,7.5505,7.5505,7.541,7.541,7.541
22,7.472,7.472,7.472,7.4624,7.4624,7.4624
23,7.4795,7.4795,7.4795,7.4699,7.4699,7.4699
24,7.4817,7.4817,7.4817,7.4721,7.4721,7.4721
25,7.4619,7.4619,7.4619,7.4523,7.4523,7.4523
26,7.4864,7.4864,7.4864,7.4768,7.4768,7.4768
27,7.5043,7.5043,7.5043,7.4948,7.4948,7.4948
28,7.4348,7.4348,7.4348,7.4253,7.4253,7.4253
29,7.5005,7.5005,7.5005,7.4907,7.4907,7.4907
30,7.4051,7.4051,7.4051,7.3959,7.3959,7.3959
31,7.5048,7.5048,7.5048,7.495,7.495,7.495
32,7.5024,7.5024,7.5024,7.4926,7.4926,7.4926
33,7.4743,7.4743,7.4743,7.4646,7.4646,7.4646
34,7.5334,7.5334,7.5334,7.5238,7.5238,7.5238
35,7.5703,7.5703,7.5703,7.5607,7.5607,7.5607
36,7.3202,7.3202,7.3202,7.3111,7.3111,7.3111
37,7.3142,7.3142,7.3142,7.3052,7.3052,7.3052
38,7.3562,7.3562,7.3562,7.3472,7.3472,7.3472
39,7.5653,7.5653,7.5653,7.5557,7.5557,7.5557
40,7.5017,7.5017,7.5017,7.492,7.492,7.492
41,7.3294,7.3294,7.3294,7.3191,7.3191,7.3191
42,7.3573,7.3573,7.3573,7.347,7.347,7.347
43,7.3786,7.3786,7.3786,7.3681,7.3681,7.3681
44,7.3637,7.3637,7.3637,7.3538,7.3538,7.3538
45,7.2219,7.2219,7.2219,7.2119,7.2119,7.2119
46,7.7546,7.7546,7.7546,7.7447,7.7447,7.7447
47,7.6958,7.6958,7.6958,7.686,7.686,7.686
48,7.7268,7.7268,7.7268,7.7172,7.7172,7.7172
49,7.7345,7.7345,7.7345,7.7249,7.7249,7.7249
