factor,value,expt_near,expt_score,expt_awra,viol
delta,0.0,11.9458,11.533,8.3274,0
delta,0.05,11.9458,11.2743,8.3182,0
delta,0.1,11.9458,11.1519,8.3391,0
delta,0.15,11.9458,11.2889,8.4673,0
delta,0.2,11.9458,11.4912,8.9776,0
delta,0.3,11.9458,11.9285,9.704,0
beta_gamma_sum,0.4,11.9458,11.8196,9.3803,0
beta_gamma_sum,0.6,11.9458,11.5269,8.8608,0
beta_gamma_sum,1.0,11.9458,11.2889,8.4673,0
beta_gamma_sum,1.4,11.9458,11.2293,8.5407,0
beta_gamma_sum,2.0,11.9458,11.2249,8.6399,0
acc_scale,0.5,14.4315,13.3418,10.5015,0
acc_scale,0.75,12.7638,11.9359,9.1732,0
acc_scale,1.0,11.9458,11.2889,8.4673,0
acc_scale,1.5,11.1355,10.5667,7.7977,0
acc_scale,2.0,10.7332,10.2064,7.4283,0
