density,case,mode,best_delta,best_bg,best_exp,default_exp,gain_pct,fail
120,uniform,online,0.2,0.6,8.926,9.037,1.23,0
120,uniform,batch,0.15,0.6,6.991,7.192,2.79,0
120,skew,online,0.1,1.0,9.181,9.206,0.27,0
120,skew,batch,0.05,0.6,5.752,6.19,7.08,0
120,heavy,online,0.1,0.6,9.177,9.199,0.24,0
120,heavy,batch,0.1,0.6,5.673,5.87,3.36,0
200,uniform,online,0.2,0.6,13.895,14.094,1.41,10
200,uniform,batch,0.2,0.6,10.666,11.144,4.29,0
200,skew,online,0.15,0.6,13.455,13.701,1.8,6
200,skew,batch,0.05,0.6,9.75,10.478,6.95,0
200,heavy,online,0.2,0.6,13.703,13.812,0.79,6
200,heavy,batch,0.1,0.6,9.228,9.916,6.94,0
240,uniform,online,0.2,0.6,16.191,16.415,1.36,24
240,uniform,batch,0.2,0.6,12.583,13.158,4.37,0
240,skew,online,0.2,0.6,15.971,16.912,5.56,7
240,skew,batch,0.05,0.6,11.597,12.39,6.4,0
240,heavy,online,0.2,0.6,16.309,16.5,1.16,19
240,heavy,batch,0.15,0.6,10.942,11.8,7.27,0
