PAGE	IDX	TYPE	NAME	X	Y	W	H	TEXT
MAIN	0	ScriptVisualElement	GenElemInst_805	40	4	560	30	Smart Storage Control - Warehouse Slot Optimization
MAIN	1	ScriptVisualElement	GenElemInst_807	620	40	560	30	Status: %s
MAIN	2	ScriptVisualElement	GenElemInst_808	1200	38	32	32	
MAIN	3	ScriptVisualElement	GenElemInst_809	628	108	60	26	ID
MAIN	4	ScriptVisualElement	GenElemInst_811	628	140	60	26	Name
MAIN	5	ScriptVisualElement	GenElemInst_813	628	172	60	26	Weight
MAIN	6	ScriptVisualElement	GenElemInst_815	628	204	60	26	Freq
MAIN	7	ScriptVisualElement	GenElemInst_817	628	236	60	26	Volume
MAIN	8	ScriptVisualElement	GenElemInst_819	960	108	128	32	Add goods
MAIN	9	ScriptVisualElement	GenElemInst_820	1100	108	128	32	Load demo
MAIN	10	ScriptVisualElement	GenElemInst_821	960	148	128	32	Reset
MAIN	11	ScriptVisualElement	GenElemInst_823	628	308	90	32	FIFO
MAIN	12	ScriptVisualElement	GenElemInst_824	726	308	90	32	Nearest
MAIN	13	ScriptVisualElement	GenElemInst_825	824	308	90	32	Score
MAIN	14	ScriptVisualElement	GenElemInst_826	922	308	100	32	AWRA-LS
MAIN	15	ScriptVisualElement	GenElemInst_827	1032	308	150	32	Current strategy: %d
MAIN	16	ScriptVisualElement	GenElemInst_828	960	188	128	32	Run assign
MAIN	17	ScriptVisualElement	GenElemInst_829	1100	188	128	32	Animate
MAIN	18	ScriptVisualElement	GenElemInst_830	960	228	128	32	Save snapshot
MAIN	19	ScriptVisualElement	GenElemInst_831	1100	228	128	32	Live/Snapshot
MAIN	20	ScriptVisualElement	GenElemInst_832	784	552	20	20	
MAIN	21	ScriptVisualElement	GenElemInst_833	628	552	150	24	Snapshot valid
MAIN	22	ScriptVisualElement	GenElemInst_834	1100	148	128	32	P2 Records
MAIN	23	ScriptVisualElement	GenElemInst_835	628	388	70	24	Target X
MAIN	24	ScriptVisualElement	GenElemInst_836	702	388	50	24	%d
MAIN	25	ScriptVisualElement	GenElemInst_837	760	388	70	24	Target Y
MAIN	26	ScriptVisualElement	GenElemInst_838	834	388	50	24	%d
MAIN	27	ScriptVisualElement	GenElemInst_839	892	388	60	24	Path m
MAIN	28	ScriptVisualElement	GenElemInst_840	956	388	60	24	%.1f
MAIN	29	ScriptVisualElement	GenElemInst_841	1024	388	64	24	Travel s
MAIN	30	ScriptVisualElement	GenElemInst_842	1092	388	60	24	%.1f
MAIN	31	ScriptVisualElement	GenElemInst_843	628	412	150	24	Total inbound / s
MAIN	32	ScriptVisualElement	GenElemInst_844	784	412	100	24	%.1f
MAIN	33	ScriptVisualElement	GenElemInst_845	628	440	150	24	Average item / s
MAIN	34	ScriptVisualElement	GenElemInst_846	784	440	100	24	%.1f
